code,name,reason
sz.159729,汇添富中证沪港深互联网ETF,流动性不足:66万
sz.159730,博时国证龙头家电ETF,流动性不足:251万
sz.159743,博时湖北新旧动能转换ETF,流动性不足:154万
sz.159760,泰康国证公共卫生与医疗健康ETF,流动性不足:154万
sz.159777,国联安创科技ETF,流动性不足:464万
sz.159778,鹏华中证工业互联网主题ETF,流动性不足:192万
sz.159787,易方达中证全指建筑材料ETF,流动性不足:316万
sz.159791,华夏沪深300ESG基准ETF,流动性不足:246万
sz.159793,平安中证沪港深线上消费主题ETF,流动性不足:94万
sz.159795,汇添富中证智能汽车主题ETF,流动性不足:470万
sz.159797,汇添富中证全指医疗器械ETF,流动性不足:378万
sz.159800,鹏华中证800ETF,流动性不足:90万
sz.159804,国寿安保创精选88ETF,流动性不足:28万
sz.159808,融通创业板ETF,流动性不足:298万
sz.159810,浦银安盛创业板ETF,流动性不足:307万
sz.159821,中银证券创业板ETF,流动性不足:265万
sz.159827,银华中证农业主题ETF,流动性不足:330万
sz.159836,天弘创业板300ETF,流动性不足:171万
sz.159838,博时医药50ETF,流动性不足:258万
sz.159849,招商中证生物科技主题ETF,流动性不足:197万
sz.159856,工银瑞信中证沪港深互联网ETF,流动性不足:252万
sz.159861,国泰中证环保产业50ETF,流动性不足:328万
sz.159862,银华中证细分食品饮料产业主题ETF,流动性不足:271万
sz.159872,鹏华中证车联网主题ETF,流动性不足:159万
sz.159877,南方中证全指医疗保健设备与服务ETF,流动性不足:138万
sz.159885,鹏华中证内地低碳经济主题ETF,流动性不足:204万
sz.159886,富国中证细分机械设备产业主题ETF,流动性不足:458万
sz.159889,国泰中证智能汽车主题ETF,流动性不足:294万
sz.159895,易方达中证物联网主题ETF,流动性不足:309万
sz.159896,南方中证物联网主题ETF,流动性不足:332万
sz.159910,嘉实深证基本面120ETF,流动性不足:452万
sz.159912,汇添富深证300ETF,流动性不足:196万
sz.159913,交银深证300价值ETF,流动性不足:44万
sz.159918,嘉实中创400ETF,流动性不足:114万
sz.159923,大成中证A100ETF,流动性不足:117万
sz.159931,汇添富中证金融地产ETF,流动性不足:63万
sz.159933,国投瑞银金融地产ETF,流动性不足:22万
sz.159935,景顺长城中证500ETF,流动性不足:308万
sz.159936,广发中证全指可选消费ETF,流动性不足:231万
sz.159940,广发中证全指金融地产ETF,流动性不足:377万
sz.159954,南方恒生中国企业ETF,流动性不足:374万
sz.159959,银华中证央企结构调整ETF,流动性不足:126万
sz.159961,方正富邦深证100ETF,流动性不足:497万
sz.159964,平安创业板ETF,流动性不足:455万
sz.159965,国联央视财经50ETF,流动性不足:35万
sz.159970,工银瑞信深证100ETF,流动性不足:119万
sz.159973,弘毅远方国证民企领先100ETF,流动性不足:85万
sz.159974,富国央企创新ETF,流动性不足:143万
sz.159976,工银瑞信粤港澳大湾区创新100ETF,流动性不足:109万
