category,rank,code,name,index_tag,score,annual_return,annual_return_1y,annual_return_3y,annual_volatility,sharpe,max_drawdown,calmar,avg_turnover,days,years,start_date,end_date
债券,11,sh.511220,海富通上证城投债ETF,海富通上证城投债ETF,0.4576756698787271,0.03925570022343994,0.016634050880626194,0.024378680676820697,0.026613205004932677,0.7235393189159649,-0.04882056623595856,0.804081215152444,1649993761.8166666,2793,11.08,2014-12-16,2026-06-26
债券,12,sh.511060,海富通上证5年期地方政府债ETF,海富通上证5年期地方政府债ETF,0.44392797613019486,0.03491411162013236,0.021240728253540064,0.03491181078827954,0.01855337911910352,0.803848804273935,-0.03589091288788472,0.9727841620857158,1021211245.8666667,1576,6.25,2019-12-12,2026-06-26
债券,13,sz.159398,天弘深证基准做市信用债ETF,信用债,0.4435326337307973,0.01934051246778723,0.01883052527254714,,0.012741075991123093,-0.05176074082536247,-0.010869565217391424,1.7793271470364056,2277078960.7099333,337,1.34,2025-02-06,2026-06-26
债券,14,sz.159649,华安中债1-5年国开债ETF,华安中债1-5年国开债ETF,0.4135636544381281,0.02645761523255019,0.019444444444444375,0.028156655619589577,0.01071732323489732,0.6025399338076473,-0.009950248756218805,2.658990330871321,420304703.88920003,890,3.53,2022-10-24,2026-06-26
债券,15,sz.159651,平安中债-0-3年国开行债券ETF,平安中债-0-3年国开行债券ETF,0.39788487504762815,0.02367088762346925,0.016965127238454336,0.021935367661385596,0.008440172526631476,0.43493040123130317,-0.005660377358490571,4.1818568134795635,246869658.09324995,873,3.46,2022-11-16,2026-06-26
债券,16,sz.159650,博时中债0-3年国开行ETF,博时中债0-3年国开行ETF,0.3896491121906135,0.022066515169532286,0.014044943820224587,0.02285949590924452,0.008204256841182167,0.2518832856571708,-0.004985044865403683,4.42654294300827,193323209.24051672,886,3.52,2022-10-28,2026-06-26
其他,1,sh.512170,华宝中证医疗ETF,医疗,0.5863402171488016,-0.014927174316039182,-0.11904761904761907,-0.133516883630602,0.27774054153757716,-0.1257546850117079,-0.7177334732423925,-0.020797656612844065,575688636.3166667,1703,6.76,2019-06-17,2026-06-26
其他,2,sz.159930,汇添富中证能源ETF,汇添富中证能源ETF,0.5449837629578508,0.0363003594861544,0.17938630999213245,0.07459520789290974,0.2801437003946521,0.05818570777494296,-0.6488020176544765,0.055949825213839545,142846176.84098333,3098,12.29,2013-09-16,2026-06-26
其他,3,sz.159941,广发纳指100ETF,纳指100,0.5441907266175098,0.19776357722967974,0.3612521150592216,0.3122764955264994,0.23191723598983868,0.7664957564321281,-0.3109730848861284,0.6359507843005013,1787408411.9692667,2660,10.56,2015-07-13,2026-06-26
其他,4,sz.159687,南方基金南方东英富时亚太精选ETF(QDII),亚太精选,0.5283729939227614,0.2230259322322401,0.3937635968092821,0.24125908594408285,0.2626874123376357,0.7728803235203677,-0.3444126074498568,0.6475544954164042,545211604.6090833,838,3.33,2022-12-30,2026-06-26
其他,5,sz.159920,华夏恒生ETF(QDII),华夏恒生ETF(QDII),0.5142837626430425,0.02705778066624176,-0.09172546504169343,0.06146053144852659,0.19578842463489676,0.036047997625002604,-0.4521028037383178,0.059848734496906836,348660186.90673333,3321,13.18,2012-10-22,2026-06-26
其他,6,sh.511880,银华日利A,银华日利A,0.5003958062186058,0.02311566571505952,0.008424320516008388,0.010818046174440932,0.0033632921823744193,0.9263737867876584,-0.004077329302655373,5.669315377594194,16930047830.833334,3203,12.71,2013-04-18,2026-06-26
其他,7,sh.513520,华夏野村日经225ETF(QDII),日经225,0.5000253965251923,0.14869744104140525,0.7144799456152275,0.292141843102689,0.2347715623444918,0.5481815589426509,-0.2926470588235295,0.5081118588349525,455627465.7,1698,6.74,2019-06-25,2026-06-26
其他,8,sh.513500,博时标普500ETF(QDII),标普500,0.4978662425322316,0.14428696761417403,0.21666666666666679,0.2241500656103983,0.17865016993447447,0.6957002484786897,-0.2967220093656876,0.4862698521172091,373711733.9166667,3022,11.99,2014-01-15,2026-06-26
其他,9,sz.159903,南方深证成份ETF,南方深证成份ETF,0.49748491019917207,0.030984625472766814,0.5636658556366583,0.14244728056909817,0.24940234460653912,0.044043793935042284,-0.586225306994127,0.05285446585655032,37104627.443116665,3978,15.79,2010-02-02,2026-06-26
其他,10,sh.510410,博时上证自然资源ETF,博时上证自然资源ETF,0.49097392069963564,0.04687804764606529,0.5232371794871795,0.19750728835485076,0.27722203219638863,0.09695494774753126,-0.5738775510204082,0.08168649838752487,28776048.016666666,3430,13.61,2012-05-11,2026-06-26
其他,11,sz.159865,国泰中证畜牧养殖ETF,国泰中证畜牧养殖ETF,0.4900779304717591,-0.12691990346681326,-0.21568627450980393,-0.13082354458469148,0.23597019659499496,-0.6226205918664285,-0.5041666666666667,-0.25174195728954696,207013544.44631666,1285,5.1,2021-03-08,2026-06-26
其他,12,sh.512770,华夏战略新兴成指ETF,华夏战略新兴成指ETF,0.4832290984481655,0.16651302183190175,1.393207547169811,0.2986014796758685,0.25824324589954584,0.5673450289921385,-0.608540925266904,0.2736266616068093,6032248.666666667,1903,7.55,2018-08-16,2026-06-26
其他,13,sz.159561,嘉实德国DAXETF(QDII),德国DAX,0.48316858246936506,0.13492701960064402,-0.04122938530734643,,0.28262007252140714,0.40664846829638696,-0.35671819262782395,0.3782454116138055,124152902.77243334,516,2.05,2024-04-30,2026-06-26
