code,name,days,start_date,end_date,years,annual_return,annual_return_1y,annual_return_3y,annual_volatility,sharpe,max_drawdown,calmar,avg_turnover
sz.159258,南方中证机器人ETF,216,2025-08-01,2026-06-26,0.86,0.2900426502597142,0.2900426502597142,,0.28447746536931323,0.9492584936706339,-0.19444444444444453,1.4916479156213867,38700396.73756667
sz.159259,易方达国证成长100ETF,197,2025-08-28,2026-06-26,0.78,0.932564029286618,0.932564029286618,,0.35966777399525257,2.537241574772455,-0.16807511737089198,5.548495481509767,361013849.12345004
sz.159260,博时证券公司ETF,155,2025-11-04,2026-06-26,0.62,-0.16998462732818753,-0.16998462732818753,,0.2306139084580468,-0.8238212022790874,-0.21902874132804745,-0.7760836605164766,10571239.522033334
sz.159261,鹏华创业板新能源ETF,235,2025-07-07,2026-06-26,0.93,0.7391602581587291,0.7391602581587291,,0.3483458891299491,2.064500488164076,-0.13723219455703536,5.386201543629219,12372037.051383335
sz.159262,广发恒生港股通科技主题ETF,235,2025-07-07,2026-06-26,0.93,-0.18979317522954153,-0.18979317522954153,,0.29536561306721054,-0.7102830050219929,-0.37875288683602765,-0.5011002736243384,608631895.3428832
sz.159263,易方达国证价值100ETF,234,2025-07-08,2026-06-26,0.93,0.04081869310022079,0.04081869310022079,,0.13166487092266804,0.15811881297060953,-0.15831987075928913,0.25782419417384367,234531584.9185
sz.159265,鹏华国证港股通消费主题ETF,238,2025-07-02,2026-06-26,0.94,-0.2536426762987263,-0.2536426762987263,,0.17321189376811247,-1.5798145863185677,-0.3054806828391734,-0.8303067609425951,19821477.890299994
sz.159266,永赢中证港股通央企红利ETF,216,2025-08-01,2026-06-26,0.86,-0.09869481040232386,-0.09869481040232386,,0.14700874743000672,-0.8073996444248083,-0.17423540315106575,-0.5664452150218483,14352642.568933336
sz.159267,华安国证航天航空行业ETF,216,2025-08-01,2026-06-26,0.86,-0.060202462202890494,-0.060202462202890494,,0.3627696575842055,-0.22108371118186487,-0.35788024776324845,-0.16821957227076903,128182973.79666665
sz.159268,汇添富国证港股通消费主题ETF,225,2025-07-21,2026-06-26,0.89,-0.28747881785446494,-0.28747881785446494,,0.18458934477955036,-1.6657452152597318,-0.30897317298797405,-0.9304329404211875,30439495.38013333
sz.159269,南方中证港股通科技ETF,232,2025-07-10,2026-06-26,0.92,-0.2283771858618614,-0.2283771858618614,,0.26831388456973193,-0.9256963584279619,-0.37479935794542535,-0.6093318492160157,117147125.19693333
sz.159270,南方创业板200ETF,222,2025-07-24,2026-06-26,0.88,0.30514249993368225,0.30514249993368225,,0.2825252378098727,1.0092638170809038,-0.17090069284064663,1.7854959793416816,12972920.670883331
