timestamp,current,high,open,low,close,chg,percent,amount,volume,avg,date
2024-12-10,6813.3735,6995.6291,6989.9086,6798.9992,6813.3735,65.3382,0.97%,901.81,3990.94,,2024-12-10
2024-12-11,6924.4932,6937.058,6783.6355,6783.6355,6924.4932,111.1197,1.63%,808.46,3200.09,,2024-12-11
2024-12-12,6996.1949,7015.8829,6926.4001,6916.7734,6996.1949,71.7017,1.04%,760.52,2891.36,,2024-12-12
2024-12-13,6929.7289,7031.9607,6956.8276,6903.3704,6929.7289,-66.466,-0.95%,932.63,3428.23,,2024-12-13
2024-12-16,6851.0314,6956.7811,6942.5586,6819.7302,6851.0314,-78.6975,-1.14%,830.64,2896.08,,2024-12-16
2024-12-17,6802.0119,6945.5319,6824.0534,6787.0396,6802.0119,-49.0195,-0.72%,677.57,2568.6,,2024-12-17
2024-12-18,6885.8822,6938.8703,6811.4561,6750.6722,6885.8822,83.8703,1.23%,681.03,2507.5,,2024-12-18
2024-12-19,7059.6529,7082.7892,6818.6387,6814.8417,7059.6529,173.7707,2.52%,828.23,2656.92,,2024-12-19
2024-12-20,7163.5879,7272.8648,7040.0128,7037.926,7163.5879,103.935,1.47%,961.13,2870.27,,2024-12-20
2024-12-23,7053.7167,7205.1437,7161.6598,7053.6793,7053.7167,-109.8712,-1.53%,983.22,3026.76,,2024-12-23
2024-12-24,7128.4214,7128.4214,7085.6559,6951.5151,7128.4214,74.7047,1.06%,820.04,2824.13,,2024-12-24
2024-12-25,7176.0082,7266.8439,7152.842,7129.2553,7176.0082,47.5868,0.67%,789.74,2466.22,,2024-12-25
2024-12-26,7405.8549,7412.7882,7154.2845,7130.639,7405.8549,229.8467,3.20%,1014.74,3107.28,,2024-12-26
2024-12-27,7303.1454,7461.692,7403.681,7285.2506,7303.1454,-102.7095,-1.39%,936.97,3205.92,,2024-12-27
2024-12-30,7248.9683,7357.9499,7295.7757,7209.843,7248.9683,-54.1771,-0.74%,842.46,3154.07,,2024-12-30
2024-12-31,6970.8601,7248.0185,7243.204,6970.8601,6970.8601,-278.1082,-3.84%,803.58,3287.22,,2024-12-31
2025-01-02,6726.0636,6949.7097,6942.4438,6658.7411,6726.0636,-244.7965,-3.51%,769.73,3236.24,,2025-01-02
